Data Line,Correctness,Loss,Predicted,Actual
1,false,0.103190,9,5
2,true,0.036049,0,0
3,false,0.131706,0,4
4,false,0.138697,7,1
5,true,0.041909,9,9
6,false,0.122237,9,2
7,false,0.097825,0,1
8,false,0.112129,5,3
9,false,0.075135,6,1
10,false,0.127614,0,4
11,false,0.121926,9,3
12,false,0.092039,1,5
13,false,0.118434,5,3
14,false,0.119949,0,6
15,false,0.128390,0,1
16,false,0.130917,9,7
17,false,0.123963,5,2
18,false,0.094735,5,8
19,false,0.104935,5,6
20,true,0.070941,9,9
21,false,0.121004,5,4
22,false,0.059908,9,0
23,false,0.078164,0,9
24,false,0.132958,7,1
25,true,0.059409,1,1
26,false,0.124443,5,2
27,false,0.127780,9,4
28,false,0.118241,5,3
29,false,0.123075,7,2
30,false,0.123639,9,7
31,false,0.119882,0,3
32,false,0.099437,9,8
33,false,0.107704,5,6
34,false,0.082634,0,9
35,false,0.088075,5,0
36,false,0.109631,1,5
37,false,0.122752,9,6
38,false,0.102800,5,0
39,true,0.049035,7,7
40,false,0.107246,9,6
41,false,0.095816,0,1
42,false,0.133189,7,8
43,false,0.122723,1,7
44,false,0.063713,1,9
45,false,0.123992,1,3
46,true,0.039104,9,9
47,false,0.129550,7,8
48,false,0.121435,0,5
49,true,0.036524,9,9
50,false,0.106814,9,3
51,false,0.123969,5,3
52,false,0.118490,1,0
53,false,0.124722,9,7
54,false,0.104963,1,4
55,false,0.090510,7,9
56,false,0.109429,9,8
57,false,0.111061,9,0
58,false,0.063899,0,9
59,false,0.128272,5,4
60,false,0.113176,7,1
61,false,0.196992,7,4
62,false,0.107333,9,4
63,false,0.131067,0,6
64,false,0.124220,9,0
65,false,0.104473,5,4
66,false,0.064271,9,5
67,false,0.115345,5,6
68,false,0.076854,0,1
69,false,0.131716,6,0
70,false,0.113589,5,0
71,false,0.124599,0,1
72,false,0.125538,9,7
73,false,0.068093,0,1
74,false,0.113106,9,6
75,false,0.119095,9,3
76,false,0.124433,5,0
77,false,0.138326,5,2
78,false,0.087568,7,1
79,false,0.114734,5,1
80,false,0.118683,9,7
81,true,0.038631,9,9
82,false,0.107208,5,0
83,false,0.119371,9,2
