Data Line,Correctness,Loss,Predicted,Actual
1,false,0.129333,9,5,0.467035
2,false,0.133131,7,0,0.430144
3,false,0.151970,9,4,0.704227
4,false,0.087416,7,1,0.429905
5,false,0.098783,7,9,0.477179
6,false,0.129418,7,2,0.417441
7,false,0.131285,9,1,0.352243
8,false,0.139918,9,3,0.461922
9,false,0.131952,7,1,0.364638
10,false,0.135606,7,4,0.437462
11,false,0.132197,9,3,0.399904
12,false,0.130401,7,5,0.467592
13,false,0.169157,7,3,0.823626
14,false,0.139048,7,6,0.525576
15,false,0.134005,7,1,0.469239
16,true,0.027460,7,7,0.541933
17,false,0.136142,9,2,0.486271
18,false,0.111207,9,8,0.445744
19,false,0.159382,7,6,0.758884
20,true,0.061831,9,9,0.319119
21,false,0.183882,7,4,0.913716
22,false,0.135319,9,0,0.485413
23,false,0.103769,1,9,0.423343
24,false,0.060100,7,1,0.370281
25,false,0.155954,7,1,0.688226
26,false,0.132997,7,2,0.477872
27,false,0.143991,7,4,0.500512
28,false,0.149942,9,3,0.677757
29,false,0.143214,7,2,0.498734
30,true,0.033562,7,7,0.536633
31,false,0.145383,7,3,0.546397
32,false,0.111322,9,8,0.443262
33,false,0.179787,7,6,0.886143
34,true,0.052720,9,9,0.374356
35,false,0.125859,9,0,0.509315
36,false,0.129161,7,5,0.490544
37,false,0.134098,7,6,0.405313
38,false,0.142257,9,0,0.492381
39,false,0.067113,9,7,0.418458
40,false,0.142486,7,6,0.585423
41,false,0.135653,9,1,0.423591
42,false,0.114261,9,8,0.439955
43,false,0.073581,9,7,0.526267
44,true,0.052303,9,9,0.379035
45,false,0.131302,7,3,0.403946
46,false,0.058482,7,9,0.478830
47,false,0.118579,7,8,0.558494
48,false,0.129053,7,5,0.431169
49,false,0.073900,8,9,0.470188
50,false,0.137104,9,3,0.482793
51,false,0.150712,7,3,0.724521
52,false,0.133353,9,0,0.420088
53,true,0.033807,7,7,0.523443
54,false,0.137374,9,4,0.444884
55,false,0.109257,7,9,0.682159
56,false,0.113980,7,8,0.448872
57,false,0.137826,7,0,0.502336
58,false,0.087244,7,9,0.459869
59,false,0.115420,7,4,0.711993
60,false,0.076592,7,1,0.597545
61,false,0.132453,1,4,0.429593
62,false,0.136375,7,4,0.448726
63,false,0.133594,7,6,0.391967
64,false,0.135290,7,0,0.468628
65,false,0.144065,9,4,0.633270
66,false,0.142384,7,5,0.590004
67,false,0.129917,9,6,0.362825
68,false,0.117520,7,1,0.439525
69,false,0.150521,7,0,0.686465
70,false,0.136853,7,0,0.455738
71,false,0.137042,7,1,0.432166
72,true,0.034726,7,7,0.515737
73,false,0.117775,7,1,0.479265
74,false,0.133817,9,6,0.422895
75,false,0.135179,9,3,0.453901
76,false,0.138360,9,0,0.474366
77,false,0.178704,7,2,0.884071
78,false,0.131318,7,1,0.441936
79,false,0.085092,7,1,0.419170
80,true,0.026348,7,7,0.578477
81,false,0.119367,7,9,0.452894
82,false,0.132410,9,0,0.609991
83,false,0.145184,9,2,0.644803
84,false,0.136032,7,6,0.464517
85,false,0.075764,9,7,0.485467
86,false,0.103296,7,8,0.457621
